,mpi,mt,num_nodes,num_processes_per_node,num_threads_per_process,sd,time
0,0.0,0.0,1.0,1.0,1.0,0.012539211855800503,141.54397125151007
1,1.0,1.0,1.0,1.0,1.0,0.15331216482989315,122.35074728596956
2,1.0,1.0,1.0,1.0,2.0,0.0098370087013443,62.111535652540624
3,1.0,1.0,1.0,1.0,3.0,0.005462976025336661,42.02072934508324
4,1.0,1.0,1.0,1.0,4.0,0.01200603219697927,32.003833438456056
5,1.0,1.0,1.0,1.0,5.0,0.013097786255480965,26.029276243969797
6,1.0,1.0,1.0,1.0,6.0,0.04257531192280521,22.060399835556744
7,1.0,1.0,1.0,1.0,7.0,0.017967073075303406,19.194053955562413
8,1.0,1.0,1.0,1.0,8.0,0.029110080462686795,17.096262893266974
9,1.0,1.0,1.0,2.0,1.0,0.05959808431318561,62.065410520508884
10,1.0,1.0,1.0,2.0,2.0,0.011354964067762045,31.994273884035646
11,1.0,1.0,1.0,2.0,3.0,0.009055568262256425,22.055395625159143
12,1.0,1.0,1.0,2.0,4.0,0.011918875452551245,17.07067205533385
13,1.0,1.0,1.0,2.0,5.0,0.015856986271268886,17.074107356928288
14,1.0,1.0,1.0,2.0,6.0,0.07827896208130951,17.12801462914795
15,1.0,1.0,1.0,2.0,7.0,0.07591587064867884,17.139054840803148
16,1.0,1.0,1.0,2.0,8.0,0.07329140092555274,17.183216049708427
17,1.0,1.0,1.0,3.0,1.0,0.02949135037626149,42.00909653436393
18,1.0,1.0,1.0,3.0,2.0,0.012997771693237443,22.039306144230068
19,1.0,1.0,1.0,3.0,3.0,0.03995445297474505,17.079115580394863
20,1.0,1.0,1.0,3.0,4.0,0.04813365040806819,17.077594125270842
21,1.0,1.0,1.0,3.0,5.0,0.10951517265161699,17.14258892647922
22,1.0,1.0,1.0,3.0,6.0,0.04755953536421788,17.212869424745442
23,1.0,1.0,1.0,3.0,7.0,0.0751178647287733,17.38722072225064
24,1.0,1.0,1.0,3.0,8.0,0.126060812294515,17.476894612424076
25,1.0,1.0,1.0,4.0,1.0,0.014883143440089236,32.01537834126502
26,1.0,1.0,1.0,4.0,2.0,0.041081699620988864,17.114380930922927
27,1.0,1.0,1.0,4.0,3.0,0.07211559255333973,17.10162610542029
28,1.0,1.0,1.0,4.0,4.0,0.050599664643927414,17.116289866901933
29,1.0,1.0,1.0,4.0,5.0,0.09852017901409964,17.17767398003489
30,1.0,1.0,1.0,4.0,6.0,0.05960238974662424,17.33866900447756
31,1.0,1.0,1.0,4.0,7.0,0.1116633395624235,17.521605585701764
32,1.0,1.0,1.0,4.0,8.0,0.11215666747393582,17.642694544792175
33,1.0,1.0,1.0,5.0,1.0,0.12685517301569962,26.089734499156474
34,1.0,1.0,1.0,5.0,2.0,0.07800976021885513,17.164024917781354
35,1.0,1.0,1.0,5.0,3.0,0.0708297907503074,17.12770399823785
36,1.0,1.0,1.0,5.0,4.0,0.13872866600872089,17.2354691432789
37,1.0,1.0,1.0,5.0,5.0,0.12618682477609705,17.461315632797778
38,1.0,1.0,1.0,5.0,6.0,0.1025394511014408,17.53407101687044
39,1.0,1.0,1.0,5.0,7.0,0.1917022045089104,17.81493981126696
40,1.0,1.0,1.0,5.0,8.0,0.14844294651315387,18.018807613290846
41,1.0,1.0,1.0,6.0,1.0,0.059591814395641325,22.15617366321385
42,1.0,1.0,1.0,6.0,2.0,0.28154900651999915,17.41831786558032
43,1.0,1.0,1.0,6.0,3.0,0.07587818752383778,17.1311388483271
44,1.0,1.0,1.0,6.0,4.0,0.11058459713431805,17.444304587692024
45,1.0,1.0,1.0,6.0,5.0,0.15193079510697172,17.601264058053495
46,1.0,1.0,1.0,6.0,6.0,0.1531352707528852,17.80764579512179
47,1.0,1.0,1.0,6.0,7.0,0.18829254132319778,17.98771327715367
48,1.0,1.0,1.0,6.0,8.0,0.13562707709948915,18.373572101257743
49,1.0,1.0,1.0,7.0,1.0,0.0542708461583918,19.264216570556165
50,1.0,1.0,1.0,7.0,2.0,0.3160567910239236,17.38012818675488
